City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-2.65,53,67,6.28,SJ,1705632615
1,albany,42.6001,-73.9662,-5.71,87,98,1.06,US,1705632390
2,port-aux-francais,-49.35,70.2167,7.42,97,100,11.37,TF,1705632616
3,edinburgh of the seven seas,-37.0676,-12.3116,16.15,62,16,10.71,SH,1705632617
4,kerikeri,-35.2268,173.9474,27.73,79,85,1.79,NZ,1705632618
5,linxia chengguanzhen,35.6003,103.2064,1.13,53,0,1.87,CN,1705632618
6,grytviken,-54.2811,-36.5092,3.97,96,100,0.72,GS,1705632619
7,ushuaia,-54.8,-68.3,8.81,61,20,8.23,AR,1705632498
8,santa vitoria do palmar,-33.5189,-53.3681,22.12,96,99,4.65,BR,1705632621
9,akranes,64.3218,-22.0749,-7.69,66,0,5.91,IS,1705632622
10,shiyan,32.6475,110.7781,2.39,88,99,1.49,CN,1705632623
11,selkirk,50.1436,-96.8845,-17.69,86,100,0.89,CA,1705632623
12,mawlaik,23.6333,94.4167,19.55,40,60,1.1,MM,1705632624
13,bada,51.392,109.8717,-18.35,86,82,1.22,RU,1705632625
14,alice springs,-23.7,133.8833,34.01,39,40,4.02,AU,1705632625
15,waitangi,-43.9535,-176.5597,19.34,97,90,8.13,NZ,1705632626
16,klyuchi,52.2667,79.1667,-19.69,87,100,4.36,RU,1705632627
17,atafu village,-8.5421,-172.5159,29.58,66,100,6.57,TK,1705632628
18,al jawf,29.5,38.75,10.45,47,99,3.38,SA,1705632628
19,cidreira,-30.1811,-50.2056,23.68,90,9,8.18,BR,1705632629
20,vila franca do campo,37.7167,-25.4333,12.23,75,98,2.15,PT,1705632630
21,sar-e pul,35.8333,66.1667,1.68,72,98,0.27,AF,1705632630
22,sinabang,2.4803,96.3801,28.49,72,100,1.3,ID,1705632631
23,carrizal,10.3499,-66.9863,16.67,81,6,0.47,VE,1705632632
24,bethel,41.3712,-73.414,-1.8,78,100,0.0,US,1705632632
25,carnarvon,-24.8667,113.6333,26.94,53,0,10.39,AU,1705632633
26,adamstown,-25.066,-130.1015,24.38,81,100,5.89,PN,1705632633
27,labytnangi,66.6572,66.4183,-21.21,100,100,2.04,RU,1705632634
28,as sulayyil,20.4607,45.5779,15.14,42,7,3.83,SA,1705632635
29,rundu,-17.9333,19.7667,18.79,88,40,1.89,,1705632635
30,arroyo,41.6096,-4.7969,8.45,78,75,7.2,ES,1705632636
31,vila velha,-20.3297,-40.2925,26.08,83,20,4.92,BR,1705632637
32,margaret river,-33.95,115.0667,21.89,64,34,5.25,AU,1705632637
33,blackmans bay,-43.0167,147.3167,20.07,59,92,5.82,AU,1705632638
34,ciudad fernandez,21.95,-100.0,19.21,25,100,1.09,MX,1705632639
35,connell,46.6635,-118.8611,-3.91,94,100,4.47,US,1705632640
36,sitia,35.2,26.0986,16.66,72,69,6.89,GR,1705632640
37,alupka,44.4167,34.05,11.92,93,100,6.29,UA,1705632641
38,sinop,41.7711,34.8709,8.05,85,52,6.23,TR,1705632642
39,hawaiian paradise park,19.5933,-154.9731,25.73,86,75,4.63,US,1705632642
40,saint-pierre,-21.3393,55.4781,23.82,78,20,1.54,RE,1705632643
41,coquimbo,-29.9533,-71.3436,16.85,88,0,1.54,CL,1705632644
42,tippi,7.2,35.45,20.53,62,84,0.76,ET,1705632645
43,college,64.8569,-147.8028,-21.62,68,75,0.0,US,1705632646
44,seryshevo,51.0933,128.3786,-22.81,72,3,4.83,RU,1705632646
45,anadyr,64.75,177.4833,-3.72,100,0,2.0,RU,1705632647
